erronea,corregida
"En el Reino Unido exizte un problema, aunque no ez excluzibo del Reino Unido.","En el Reino Unido existe un problema, aunque no es exclusivo del Reino Unido."
estos chicos fue muy bonitos,estos chicos fueron muy bonitos
En el párrafo 2 del artículo 13 del Conbenio de Eztocolmo ze eztipula que:,En el párrafo 2 del artículo 13 del Convenio de Estocolmo se estipula que:
Tenga algo de bergüenza Sr. Verma,Tenga algo de vergüenza Sr. Verma
¡Las llaves estaba puestas!,¡Las llaves estaban puestas!
estos jugadores que tenía es muy útiles,estos jugadores que tenía son muy útiles
Huele a Navidad aki.,Huele a Navidad aquí.
I san't sit stiy,I can't sit still
las ventanas que encontramos fue viejos,las ventanas que encontramos fueron viejos
tres zapatos era enormes,tres zapatos eran enormes
"Bueno, ¿eztaba mintiendo?","Bueno, ¿estaba mintiendo?"
estos autos del parque tiene dueño,estos autos del parque tienen dueño
- He penzado que podríamoz arreglarlo.,- He pensado que podríamos arreglarlo.
- ¿Que diablos...?,- ¿Qué diablos...?
Entoncez necezitamoz diztraerle.,Entonces necesitamos distraerle.
Ezto naturalmente no ez pozible o lo ez zólo de manera limitada.,Esto naturalmente no es posible o lo es sólo de manera limitada.
esas niñas de la casa era buenos,esas niñas de la casa eran buenos
las canciones que encontramos tiene nombre,las canciones que encontramos tienen nombre
dos niños de mi tío era buenos,dos niños de mi tío eran buenos
"Sus movimientos es fluidos, como un joven Nijinsky.","Sus movimientos son fluidos, como un joven Nijinsky."
Nadie ba a bolber a botar por él.,Nadie va a volver a votar por él.
esos vecinos del parque estaba sucios,esos vecinos del parque estaban sucios
muchos cuadros que estaban ahí fue pequeños,muchos cuadros que estaban ahí fueron pequeños
muchos juguetes que tenía era enormes,muchos juguetes que tenía eran enormes
muchas flores que compré tiene nombre,muchas flores que compré tienen nombre
Ha buelto al teatro..,Ha vuelto al teatro..
"Uzted realmente no eztá Fury, ez uzted?","Usted realmente no está Fury, es usted?"
Esta sapsula te proporsiona una pekeña dosis de insulina sontinua.,Esta cápsula te proporciona una pequeña dosis de insulina continua.
esos libros de la casa era rápidos,esos libros de la casa eran rápidos
muchos profesores del parque tiene dueño,muchos profesores del parque tienen dueño
esos regalos que había ahí es de mi hermano,esos regalos que había ahí son de mi hermano
Mi- ¡Maldita sea! ¡Lo hisiste a proposito!,Mi- ¡Maldita sea! ¡Lo hiciste a propósito!
varias mesas de mi tío tiene nombre,varias mesas de mi tío tienen nombre
ellos estaba rotos,ellos estaban rotos
muchos pájaros que compré fue viejos,muchos pájaros que compré fueron viejos
"Buenos dias, nesesito diression.","Buenos días, necesito una dirección."
Él me derroto con laz manoz.,Él me derroto con las manos.
Se lo ke te paso.,Sé lo que te pasó.
Por muco que me guzta ezte azpecto Deberiaz ponerte algo máz cálido.,Por mucho que me gusta este aspecto Deberias ponerte algo más cálido.
- Penzamoz zalir en un par de zemanaz.,- Pensamos salir en un par de semanas.
tres zapatos que estaban ahí era buenos,tres zapatos que estaban ahí eran buenos
ellas que compré era enormes,ellas que compré eran enormes
varias mesas que vi fue nuevos,varias mesas que vi fueron nuevos
Necezito ablar.,Necesito hablar.
No ahí demasiada gente.,No hay demasiada gente.
no podemoz exponernoz azta que ezto aya pazado.,no podemos exponernos hasta que esto haya pasado.
dos amigos que estaban ahí estaba rotos,dos amigos que estaban ahí estaban rotos
los jugadores que compré es de madera,los jugadores que compré son de madera
dos ventanas que vi estaba mojados,dos ventanas que vi estaban mojados
tres profesores que vimos ayer es de mi hermano,tres profesores que vimos ayer son de mi hermano
"- Pónteloz, pónteloz.","- Póntelos, póntelos."
muchos cuadros que compré estaba sucios,muchos cuadros que compré estaban sucios
- Pero no demaziado.,- Pero no demasiado.
ellas de mi tío era enormes,ellas de mi tío eran enormes
"- Ez el mundo de nueztro padre, Uriel.","- Es el mundo de nuestro padre, Uriel."
varias montañas de mi tío era rápidos,varias montañas de mi tío eran rápidos
Deberíamoz coprar un marco y ponerlo en la pared.,Deberíamos coprar un marco y ponerlo en la pared.
Asi ke no se tosa el sabeyo de una mujer negra.,Así que no se toca el cabello de una mujer negra.
estos vecinos que vi estaba cerrados,estos vecinos que vi estaban cerrados
Dice que puedo inbitar a quien quiera...,Dice que puedo invitar a quien quiera...
tres montañas de la casa era enormes,tres montañas de la casa eran enormes
ellos que vimos ayer fue viejos,ellos que vimos ayer fueron viejos
estos autos que encontramos tiene nombre,estos autos que encontramos tienen nombre
ellas que vi es de madera,ellas que vi son de madera
"Sí, caso Mortali.","Sí, el caso Mortali."
"Bueno, ¿suanto tiempo tomara?","Bueno, ¿cuánto tiempo tomará?"
No intente adibinar.,No intente adivinar.
las niñas que vi era rápidos,las niñas que vi eran rápidos
ellas fue nuevos,ellas fueron nuevos
esas historias que vimos ayer es muy útiles,esas historias que vimos ayer son muy útiles
Tube un momento de...,Tuve un momento de...
Convirtieron a Leonard en algo ke no es.,Convirtieron a Leonard en algo que no es.
estas montañas es de mi hermano,estas montañas son de mi hermano
esas canciones de la casa era divertidos,esas canciones de la casa eran divertidos
¿Cómo iba a zaber que ze pondría tan celoza que aría algo azí?,¿Cómo iba a saber que se pondría tan celosa que haría algo así?
No he visto para nada.,No la he visto para nada.
"Cuando camino se bifurca (6min) (80 m), manténgase a la izquierda.","Cuando el camino se bifurca (6min) (80 m), manténgase a la izquierda."
los gatos que había ahí estaba mojados,los gatos que había ahí estaban mojados
tres niñas que compré fue geniales,tres niñas que compré fueron geniales
Azí ez la Galia.,Así es la Galia.
las niñas que encontramos fue nuevos,las niñas que encontramos fueron nuevos
Santa Lucía : ¿Loz plátanoz como fuente de energía renobable?,Santa Lucía : ¿Los plátanos como fuente de energía renovable?
muchas amigas del parque es importantes,muchas amigas del parque son importantes
muchas plantas que llegaron tiene precio,muchas plantas que llegaron tienen precio
Dije ke ustedes no pasaron tanto tiempo juntos.,Dije que ustedes no pasaron tanto tiempo juntos.
estas canciones estaba cerrados,estas canciones estaban cerrados
Sí. ¿Vizte la cara de Rut cuando lo bio?,Sí. ¿Viste la cara de Ruth cuando lo vio?
- Llévense Romeo romántico.,- Llévense al Romeo romántico.
esos vecinos que había ahí era enormes,esos vecinos que había ahí eran enormes
ellas de la casa fue caros,ellas de la casa fueron caros
"Tengo ke darle algun premio por sreatividad, verdad?","Tengo que darle algun premio por creatividad, verdad?"
Valorasion (5 votos):,Valoración (5 votos):
- Vamoz tan rápido como podemoz.,- Vamos tan rápido como podemos.
"¿Entoncez, ezcucazte todo lo que dije?","¿Entonces, escuchaste todo lo que dije?"
- ¿Te enterazte?,- ¿Te enteraste?
esas historias que encontramos era divertidos,esas historias que encontramos eran divertidos
g) Ley de arbitraje Nº 22 de 1992.,g) La Ley de arbitraje Nº 22 de 1992.
El desarroyo del lobulo frontal es algo hermoso...,El desarrollo del lóbulo frontal es algo hermoso...
Que saven un hoyo.,Que caven un hoyo.
dos gatos que había ahí fue muy bonitos,dos gatos que había ahí fueron muy bonitos
estos juguetes que estaban ahí estaba rotos,estos juguetes que estaban ahí estaban rotos
ellas del parque era antiguos,ellas del parque eran antiguos
"Un punto, y como nuebo.","Un punto, y como nuevo."
"¡Como literatura, no mi bida!","¡Como literatura, no mi vida!"
muchas canciones que vi es muy útiles,muchas canciones que vi son muy útiles
Sammy! -Espera aki sonmigo!,Sammy! -Espera aquí conmigo!
"Sé que pienzaz que zoy rara, pero, lo imaginé zentado a mi lado.","Sé que piensas que soy rara, pero, lo imaginé sentado a mi lado."
"Peze a ello, la zituación ze deterioró.","Pese a ello, la situación se deterioró."
Nada de esto es sumpla mia.,Nada de esto es cumpla mía.
"No habra un ekipo de asalto, Jask.","No habrá un equipo de asalto, Jack."
se suprimen puntos 4.1 y 4.2;,se suprimen los puntos 4.1 y 4.2;
Es un tonto ke no sabe nada.,Es un tonto que no sabe nada.
dos flores fue muy bonitos,dos flores fueron muy bonitos
"Bueno, tesnisamente, legalmente, lo es.","Bueno, técnicamente, legalmente, lo es."
¿Qué ahí de Julian?,¿Qué hay de Julian?
Lo vamos a haser.,Lo vamos a hacer.
- Quiero ablar contigo.,- Quiero hablar contigo.
ellas que llegaron es muy útiles,ellas que llegaron son muy útiles
Eztube una pezadilla anoce. Dickenz y un funeral.,Estuve una pesadilla anoche. Dickens y un funeral.
- Quierez ablar.,- Quieres hablar.
esas canciones de mi tío es de madera,esas canciones de mi tío son de madera
Ez una compozitora marabilloza.,Es una compositora maravillosa.
Me alegro de sonoserlo.,Me alegro de conocerlo.
varios amigos que había ahí estaba rotos,varios amigos que había ahí estaban rotos
"Si funciona, lez aniquilaremoz zin mober un dedo.","Si funciona, les aniquilaremos sin mover un dedo."
"Eztube en Ibiza una bez cuando tenía 20 añoz, me recorrí todaz laz dizcotecaz.","Estuve en Ibiza una vez cuando tenía 20 años, me recorrí todas las discotecas."
"Fish, tus hijos está de servicio.","Fish, tus hijos están de servicio."
"Russell, es una de nuestras.","Russell, es una de las nuestras."
¿Lugar de nasimiento?,¿Lugar de nacimiento?
varios amigos que estaban ahí es muy útiles,varios amigos que estaban ahí son muy útiles
ellos que encontramos fue caros,ellos que encontramos fueron caros
¡Háganse a lado idiotas!,¡Háganse a un lado idiotas!
¿De ke esta hablando?,¿De qué está hablando?
estas historias que encontramos tiene hambre,estas historias que encontramos tienen hambre
las flores del parque fue viejos,las flores del parque fueron viejos
ellas que vimos ayer fue muy grandes,ellas que vimos ayer fueron muy grandes
Sin importar cuántoz agujeroz tenga.,Sin importar cuántos agujeros tenga.
"Hasta ahora, todas a las ke podemos pagarle de este sitio web...","Hasta ahora, todas a las que podemos pagarle de este sitio web..."
tres camisas que vi tiene hambre,tres camisas que vi tienen hambre
Se anuncia llegada del vuelo 777 procedente de París.,Se anuncia la llegada del vuelo 777 procedente de París.
¡Lo sonsiguio de ti!,¡Lo consiguió de ti!
¿Desea añadir alguna sosa?,¿Desea añadir alguna cosa?
No pongas eso en mi essritorio,No pongas eso en mi escritorio
"Si, Eztoy de acuerdo","Si, Estoy de acuerdo"
ellas de mi tío es muy útiles,ellas de mi tío son muy útiles
varios niños que llegaron es de madera,varios niños que llegaron son de madera
Entiendo que tu ija eztá a un pazo o doz de una zilla de ruedaz.,Entiendo que tu hija está a un paso o dos de una silla de ruedas.
Nobember 2012 (27),November 2012 (27)
dos vecinos que había ahí era enormes,dos vecinos que había ahí eran enormes
varias montañas que tenía fue muy bonitos,varias montañas que tenía fueron muy bonitos
tres amigos que tenía era buenos,tres amigos que tenía eran buenos
varias camisas que llegaron era buenos,varias camisas que llegaron eran buenos
"Hablando claramente, atacazte a eza enfermera.","Hablando claramente, atacaste a esa enfermera."
"Buena atrapada, debería jugar para loz Yankeez","Buena atrapada, debería jugar para los Yankees"
Y dezcargando el pleno,Y descargando el pleno
"- Jamas lo habia essushado, señor.","- Jamás lo había escuchado, señor."
"Tienen mucoz problemaz conmigo ziendo tan onezta, pompoza.","Tienen muchos problemas conmigo siendo tan honesta, pomposa."
- ¿Y zabez qué ace ella?,- ¿Y sabes qué hace ella?
esas chicas del parque es importantes,esas chicas del parque son importantes
El silphium lo usa el ejersito para sombatir la infession.,El silphium lo usa el ejército para combatir la infección.
unas historias que estaban ahí fue pequeños,unas historias que estaban ahí fueron pequeños
varias ventanas que encontramos fue azules,varias ventanas que encontramos fueron azules
Gourmania juegos tienen periodo de prueba gratuita.,Gourmania juegos tienen un período de prueba gratuita.
"- Hola, somandante.","- Hola, comandante."
"Me ziento alagado, pero realmente no me ban ezaz cozaz.","Me siento halagado, pero realmente no me van esas cosas."
- ¿Un coñac con zoda?,- ¿Un coñac con soda?
"Dezde que zon potencialez ezclaboz. Cuantaz menoz bíctimaz, mayorez gananciaz.","Desde que son potenciales esclavos. Cuantas menos víctimas, mayores ganancias."
muchos juguetes de la casa fue pequeños,muchos juguetes de la casa fueron pequeños
tres chicas que vimos ayer es muy útiles,tres chicas que vimos ayer son muy útiles
Era siempre el mismo disso.,Era siempre el mismo disco.
tres libros que tenía tiene precio,tres libros que tenía tienen precio
¿Que ezta pazando?,¿Que esta pasando?
"Nesesitan essusharlo de tu bosa, es somo debe ser, pa.","Necesitan escucharlo de tu boca, es como debe ser, pá."
Vean a eza pobre gente aí afuera.,Vean a esa pobre gente ahí afuera.
"- ¡No, maldita zea!","- ¡No, maldita sea!"
Yo no zoy un niño.,Yo no soy un niño.
"No zé tú, pero eztoy tan contenta que ezte zitio aya abierto.","No sé tú, pero estoy tan contenta que este sitio haya abierto."
Luego bio el bideo de zu ija.,Luego vio el video de su hija.
Grifo de agua no funsiono.,Grifo de agua no funcionó.
Â¿Mi srÃ©dito es sufisiente para somprarte?,Â¿Mi crÃ©dito es suficiente para comprarte?
estas niñas del parque era enormes,estas niñas del parque eran enormes
Vamoz a dar un poco de ambiente.,Vamos a dar un poco de ambiente.
"¿Viniste en ultimo barso, el Pojkola, ke yego esta mañana?","¿Viniste en el último barco, el Pojkola, que llegó esta mañana?"
"No 78, Huting Road, Baceng Town, Kunzan, Probincia de Jiangzu","No 78, Huting Road, Bacheng Town, Kunshan, Provincia de Jiangsu"
- Como eztar muriendo lentamente.,- Como estar muriendo lentamente.
Probablemente algunas veses nesesites ayuda.,Probablemente algunas veces necesites ayuda.
unas amigas que me diste estaba rotos,unas amigas que me diste estaban rotos
"Bien, ay que irnoz.","Bien, hay que irnos."
el Sargento : ¡a inbentado?! Bien eco,el Sargento : ¡ha inventado?! Bien hecho
"No eztaba rememorando loz biejoz tiempoz, bale?","No estaba rememorando los viejos tiempos, vale?"
Al final pasillo.,Al final del pasillo.
estas montañas de mi tío fue caros,estas montañas de mi tío fueron caros
ellos que tenía era divertidos,ellos que tenía eran divertidos
Los valores posibles es:,Los valores posibles son:
"Por fabor, por fabor, no ...","Por favor, por favor, no ..."
Solo kiero ke sepas... ke tu mama es genial.,Sólo quiero que sepas... que tu mamá es genial.
tres pájaros de la casa tiene precio,tres pájaros de la casa tienen precio
Ya eztamoz retrazadoz zobre lo prebizto.,Ya estamos retrasados sobre lo previsto.
estas manzanas que vimos ayer tiene nombre,estas manzanas que vimos ayer tienen nombre
"Amigo, son sosas importantes...","Amigo, con las cosas importantes..."
unos amigos que estaban ahí era antiguos,unos amigos que estaban ahí eran antiguos
"Por el amor de zu pueblo, le enbidio.","Por el amor de su pueblo, le envidio."
Lo pegamos son goma.,Lo pegamos con goma.
"¡Anda, mi bida!","¡Anda, mi vida!"
"Sabez que no tienez por qué quedarte aquí de pie, ¿berdad?","Sabes que no tienes por qué quedarte aquí de pie, ¿verdad?"
